symbol,name,sector
TITAN,Titan Company,Consumer Durables
DMART,Avenue Supermarts,Retail
TRENT,Trent,Retail
PAGEIND,Page Industries,Consumer Durables
BATAINDIA,Bata India,Consumer Durables
RELAXO,Relaxo Footwears,Consumer Durables
KALYANKJIL,Kalyan Jewellers India,Retail
ABFRL,Aditya Birla Fashion & Retail,Retail
VMART,V-Mart Retail,Retail
WHIRLPOOL,Whirlpool of India,Consumer Durables
DIXON,Dixon Technologies,Consumer Durables
AMBER,Amber Enterprises India,Consumer Durables
VGUARD,V-Guard Industries,Consumer Durables
BAJAJELEC,Bajaj Electricals,Consumer Durables
CERA,Cera Sanitaryware,Consumer Durables
KAJARIACER,Kajaria Ceramics,Consumer Durables
CENTURYPLY,Century Plyboards (India),Consumer Durables
ASTRAL,Astral,Consumer Durables
SUPREMEIND,Supreme Industries,Consumer Durables
HAVELLS,Havells India,Consumer Durables
VOLTAS,Voltas,Consumer Durables
BLUESTARCO,Blue Star,Consumer Durables
CROMPTON,Crompton Greaves Consumer Electricals,Consumer Durables
PAYTM,One97 Communications,New-age / Internet
NYKAA,FSN E-Commerce Ventures,New-age / Internet
POLICYBZR,PB Fintech,New-age / Internet
NAUKRI,Info Edge (India),New-age / Internet
DELHIVERY,Delhivery,New-age / Internet
IRCTC,Indian Railway Catering & Tourism,New-age / Internet
ADANIENT,Adani Enterprises,Diversified
ADANIPORTS,Adani Ports and SEZ,Infrastructure
GRASIM,Grasim Industries,Diversified
INDHOTEL,Indian Hotels Company,Hospitality
JUBLFOOD,Jubilant Foodworks,Hospitality
DABUR,Dabur India,FMCG
CONCOR,Container Corporation of India,Logistics
GMRAIRPORT,GMR Airports,Infrastructure
IRB,IRB Infrastructure Developers,Infrastructure
COALINDIA,Coal India,Metals
